date,sr,fact,enc_hub
2021-08-09,146,176,102
2022-04-15,19103,23753,56
2021-11-09,7526,7325,44
2022-02-15,12688,12061,17
2021-11-09,776,557,23
2021-08-09,496,202,134
2021-10-27,698,796,35
2021-08-09,234,119,29
2022-02-15,1236,1195,85
2021-11-09,1128,1040,30
2021-11-09,847,848,43
2021-11-09,4157,4446,25
2022-04-15,464,628,23
2021-11-09,1827,1608,12
2021-11-09,5349,6971,57
2021-10-27,1239,1327,122
2022-04-15,583,620,87
2022-04-15,980,1720,45
2022-07-13,1,9,1
2022-07-13,4,7,82
2021-03-05,443,698,121
2022-07-13,1607,1339,36
2021-11-09,2188,2756,89
2021-11-09,474,428,86
2022-02-15,8459,8769,91
2022-07-13,18,148,28
2022-01-30,1863,2228,55
2021-08-09,6,12,10
2021-11-09,1547,1432,116
2022-02-15,2773,2858,111
2021-11-09,2709,1424,107
2022-01-30,1525,2447,58
2021-11-09,40942,45727,62
2022-04-15,149,126,74
2021-03-05,8990,11504,104
2022-06-24,3234,4893,61
2021-11-09,25,27,98
2021-11-09,2095,2677,46
2022-02-15,2691,3506,136
2022-04-15,3144,3747,31
2021-08-09,265,291,125
2022-07-13,1344,2381,41
2021-11-09,11490,10073,33
2021-11-09,730,863,99
2021-08-09,892,974,131
2022-04-15,5512,5883,120
2021-11-09,1235,1423,108
2022-06-24,1011,823,0
2022-07-13,2,8,80
2022-01-30,88,242,85
2021-11-09,12285,11526,19
2022-01-30,3,5,111
2022-06-24,15314,15683,101
2022-06-24,778,1184,124
2022-07-13,1937,1783,92
2021-08-09,408,862,4
2021-10-27,853,1085,5
2021-08-09,4702,4862,68
2022-04-15,2164,3641,44
2022-04-15,2162,2752,97
2021-11-09,278,266,8
2022-07-13,6,24,81
2022-02-15,10982,12205,58
2022-04-15,106,94,73
2022-02-15,8395,8092,55
2022-01-30,1580,2049,91
2021-03-05,9228,10190,65
2021-11-09,1433,1673,26
2021-03-05,127,143,79
2021-08-09,521,486,34
2021-08-09,8715,9074,105
2021-11-09,15344,14767,103
2022-01-30,451,782,136
2021-11-09,4737,5712,64
2022-04-15,933,1064,13
2022-04-15,1,1,2
2022-06-24,3136,3276,5
2021-03-05,1942,3667,122
2022-06-24,19796,19120,104
2021-08-09,1468,1706,89
2021-11-09,1596,1727,10
2022-04-15,5557,6550,14
2022-06-24,3737,5024,83
2022-02-15,3,3,32
2022-06-24,4810,8613,24
2021-10-27,513,686,47
2021-08-09,12301,12573,103
2021-11-09,636,688,125
2022-02-15,44,138,1
2021-08-09,1,1,8
2022-02-15,3,5,40
2022-02-15,662,484,36
2021-11-09,1378,1574,134
2021-03-05,255,228,115
2022-04-15,2792,3214,69
2022-06-24,538,1163,48
2022-06-24,60,136,75
2022-04-15,1997,2466,39
2022-04-15,1439,2175,21
